database_complete_detailed
Plant ID,Common Name,Scientific Name,Family,Arabic Name,Difficulty,Type,Pet Safe,Watering (Full),Light Requirement,Light Description,Soil Type,Temperature Range,Humidity,Fertilizer,Plant Info (English),Plant Info (Arabic),Cairo Suitability,Summer Care,Winter Care,Image URL
alocasia_polly,Alocasia Polly,Alocasia amazonica 'Polly',Araceae,ألوكاسيا بولي,advanced,tropical,no,twice_weekly: Keep soil consistently moist but not soggy. Very sensitive to water quality.,bright_indirect,Bright indirect light essential. No direct sun or leaves will burn.,well_draining,18-29°C (optimal: 24°C),high,bi_weekly_growing_season,Compact variety with striking arrow-shaped leaves and white veins. Dramatic tropical beauty.,صنف مضغوط بأوراق مذهلة على شكل سهم وعروق بيضاء. جمال استوائي دراماتيكي.,challenging,High humidity crucial in Cairo's dry heat (35-40°C). Mist multiple times daily or use humidifier.,Keep warm above 18°C. Cairo winters (10-20°C) require careful temperature management.,https://plantcultcairo.com/cdn/shop/files/Screenshot_2025-10-14_at_12.31.59_PM.png?v=1760434475
alocasia_silver_dragon,Alocasia Silver Dragon,Alocasia baginda 'Silver Dragon',Araceae,ألوكاسيا التنين الفضي,advanced,tropical,no,twice_weekly: Water when top 3-4cm is dry. Prefers filtered or distilled water.,bright_indirect,Bright filtered light shows off silvery texture. Avoid direct sun.,well_draining,18-27°C (optimal: 23°C),high,monthly_growing_season,Rare compact Alocasia with silvery-green textured leaves. Highly sought-after collector's plant.,ألوكاسيا نادرة مضغوطة بأوراق فضية-خضراء منقوشة. نبات مطلوب جداً للهواة.,very_challenging,Requires constant high humidity in Cairo's dry climate (35-40°C). Use pebble tray and humidifier.,Maintain warmth and humidity. Cairo's winter (10-20°C) can stress plant if below 18°C.,https://kaynuna.co/cdn/shop/files/IMG_1860.jpg?v=1753881058&width=823
aloe_black_gem,Aloe Black Gem,Aloe 'Black Gem',Asphodelaceae,صبار الجوهرة السوداء,beginner,succulent,no,every_2_weeks: Water deeply but infrequently. Let soil dry completely.,bright_indirect,"Needs bright light, can handle some direct sun",cactus_succulent,10-35°C (optimal: 22°C),low,rarely,"Aloe Black Gem is a unique ornamental cactus distinguished by its dark green color tending towards black or violet. A compact and elegant succulent plant with thick, toothed, and shiny leaves. Very easy to care for and perfect for beginners; it withstands drought and neglect. Purifies the air and adds an elegant modern touch to the decor. Grows slowly and does not require frequent watering. Very suitable for Cairo's climate.",ألوي بلاك جيم صبار زينة فريد ومميز بلونه الأخضر الداكن المائل للأسود أو البنفسجي. نبات عصاري مدمج وأنيق، أوراقه سميكة مسننة ولامعة. سهل جداً في العناية ومثالي للمبتدئين، يتحمل الجفاف والإهمال. ينقي الهواء ويضيف لمسة عصرية أنيقة للديكور. ينمو ببطء ولا يحتاج ري متكرر. مناسب جداً لمناخ القاهرة.,good,Water regularly during hot Cairo summers. Protect from harsh afternoon sun.,Reduce watering in cooler months. Maintain in bright location.,https://plantcultcairo.com/cdn/shop/files/Screenshot_2025-10-27_at_12.02.46_PM.png?v=1761555816&width=823
aloe_brevifolia,Aloe Brevifolia,Aloe brevifolia,Asphodelaceae,صبار بريفيفوليا,beginner,succulent,no,every_2_weeks: Water deeply but infrequently. Let soil dry completely.,bright_indirect,"Needs bright light, can handle some direct sun",cactus_succulent,10-35°C (optimal: 22°C),low,rarely,"Aloe Brevifolia is a beautiful ornamental cactus characterized by short, thick, triangular leaves with toothed edges. It grows in compact rosettes, colored gray-green with orange touches at the leaf tips when exposed to the sun. A very easy succulent perfect for beginners; withstands drought and neglect. Grows slowly forming beautiful small clusters. Suitable for small pots and rock gardens.",ألوي بريفيفوليا صبار زينة جميل يتميز بأوراقه القصيرة السميكة المثلثة ذات الحواف المسننة. ينمو على شكل وريدات مدمجة، ولونه أخضر رمادي مع لمسات برتقالية في أطراف الأوراق عند التعرض للشمس. نبات عصاري سهل جداً ومثالي للمبتدئين، يتحمل الجفاف والإهمال. ينمو ببطء ويشكل مجموعات صغيرة جميلة. مناسب للأصص الصغيرة والحدائق الصخرية.,good,Water regularly during hot Cairo summers. Protect from harsh afternoon sun.,Reduce watering in cooler months. Maintain in bright location.,https://plantcultcairo.com/cdn/shop/files/IMG-20241111-WA0105_2.jpg?v=1731582214&width=823
aloe_humilis,Aloe humilis,Aloe humilis,Asphodelaceae,صبار هوميليس,beginner,succulent,no,every_2_weeks: Water deeply but infrequently. Let soil dry completely.,bright_indirect,"Needs bright light, can handle some direct sun",cactus_succulent,10-35°C (optimal: 22°C),low,rarely,"Aloe humilis (The Humble Aloe) is a small, beautiful succulent with blue-green leaves arranged in compact rosettes. Its leaves are toothed with soft white spines, and it blooms with beautiful orange-pink flowers in spring. A very easy plant perfect for beginners, growing slowly and propagating by offsets. Suitable for small pots and tight spaces. Withstands drought and neglect. Ideal for Cairo's hot climate.",ألوي هوميليس (الصبار المتواضع) نبات عصاري صغير الحجم جميل بأوراقه الخضراء المزرقة المرتبة في وريدات مدمجة. أوراقه مسننة بأسنان بيضاء ناعمة، ويزهر بأزهار برتقالية وردية جميلة في الربيع. نبات سهل جداً ومثالي للمبتدئين، ينمو ببطء ويتكاثر بالخلفات. مناسب للأصص الصغيرة والمساحات الضيقة. يتحمل الجفاف والإهمال. مثالي لمناخ القاهرة الحار.,good,Water regularly during hot Cairo summers. Protect from harsh afternoon sun.,Reduce watering in cooler months. Maintain in bright location.,https://plantcultcairo.com/cdn/shop/files/WhatsAppImage2025-10-26at5.29.19PM_5.jpg?v=1761503176&width=823
alpinia_variegated,Alpinia Variegated,Alpinia sp.,Zingiberaceae,ألبينيا مبرقشة,intermediate,foliage,yes,weekly: Water when top 2 inches are dry,bright_indirect,Prefers bright indirect light,well_draining_potting,15-30°C (optimal: 22°C),medium,monthly,"Variegated Alpinia is a stunning tropical plant from the ginger family, featuring long leaves striped with yellow or white lines on dark green. A plant with upright cane-like stems and very attractive shiny leaves. Grows moderately reaching a medium height. Loves humidity and good lighting. A luxurious ornamental plant that adds an elegant tropical touch to interior spaces. May bloom with beautiful fragrant flowers.",ألبينيا المبرقشة نبات استوائي مذهل من عائلة الزنجبيل، يتميز بأوراقه الطويلة المخططة بخطوط صفراء أو بيضاء على أخضر داكن. نبات سيقانه قائمة تشبه القصب، وأوراقه لامعة وجذابة جداً. ينمو بشكل معتدل ويصل لارتفاع متوسط. يحب الرطوبة والإضاءة الجيدة. نبات زينة فاخر يضيف لمسة استوائية أنيقة للمساحات الداخلية. قد يزهر بأزهار عطرية جميلة.,good,Water regularly during hot Cairo summers. Protect from harsh afternoon sun.,Reduce watering in cooler months. Maintain in bright location.,https://plantcultcairo.com/cdn/shop/files/Screenshot_2024-06-27_at_12.02.16_PM.png?v=1719478959&width=823
american_aloe,American Aloe,Agave americana,Asparagaceae,الصبار الأمريكي,beginner,succulent,no,every_2_weeks: Water deeply but infrequently. Let soil dry completely.,bright_indirect,"Needs bright light, can handle some direct sun",cactus_succulent,10-35°C (optimal: 22°C),low,rarely,"American Aloe (Agave Americana) is not actually a true aloe but an Agave. A huge majestic succulent with thick, long blue-green leaves toothed with sharp spines. A very strong plant that withstands drought and extreme heat, perfect for outdoor gardens and spacious balconies. Grows slowly but reaches a large size. Blooms once in its life with a huge flower spike then dies. A stunning architectural ornamental plant.",الصبار الأمريكي (أجاف أمريكانا) في الحقيقة ليس صباراً حقيقياً بل أجاف، نبات عصاري ضخم مهيب بأوراقه الخضراء المزرقة السميكة الطويلة المسننة بأشواك حادة. نبات قوي جداً يتحمل الجفاف والحرارة الشديدة، مثالي للحدائق الخارجية والشرفات الواسعة. ينمو ببطء لكن يصل لحجم كبير. يزهر مرة واحدة في حياته بشمراخ زهري ضخم ثم يموت. نبات زينة معماري مذهل.,good,Water regularly during hot Cairo summers. Protect from harsh afternoon sun.,Reduce watering in cooler months. Maintain in bright location.,https://plantcultcairo.com/cdn/shop/files/Screenshot2024-04-20at4.22.58PM.png?v=1748777825&width=823
areca_palm,Areca Palm,Dypsis lutescens,Arecaceae,نخلة أريكا,intermediate,palm,yes,weekly: Keep soil evenly moist but not waterlogged. Sensitive to both over and under-watering.,bright_indirect,Bright indirect light essential. Direct sun scorches leaves.,well_draining,18-30°C (optimal: 24°C),high,monthly_growing_season,Popular feathery palm with golden-yellow stems. Excellent air purifier and humidifier.,نخلة ريشية شائعة بسيقان صفراء ذهبية. منقي هواء ومرطب ممتاز.,moderate,Needs regular misting for humidity. Protect from hot dry air. Water frequently.,Reduce watering slightly. Maintain warmth and humidity.,https://kaynuna.co/cdn/shop/files/Areca_Palm.jpg
arrowhead_vine,Arrowhead Vine,Syngonium podophyllum,Araceae,نبات رأس السهم,beginner,tropical,no,weekly: Keep evenly moist. Water when top 2-3cm is dry.,bright_indirect,Bright indirect light. Lower light causes leggy growth.,well_draining,16-30°C (optimal: 23°C),medium,monthly_growing_season,Versatile climber with arrow-shaped leaves. Easy care and fast growing.,متسلق متعدد الاستخدامات بأوراق على شكل سهم. سهل العناية وسريع النمو.,good,Increase watering and humidity. Mist regularly.,Reduce watering. Keep away from cold windows.,https://kaynuna.co/cdn/shop/files/Arrowhead_in_brown_plastic_pot.jpg
bamboo_palm,Bamboo Palm,Chamaedorea seifrizii,Arecaceae,نخلة الخيزران,beginner,palm,yes,weekly: Keep soil evenly moist during growing season. Reduce in winter.,bright_indirect,Thrives in medium to bright indirect light. Tolerates low light better than most palms.,well_draining,16-30°C (optimal: 24°C),medium,monthly_growing_season,Graceful clustering palm with bamboo-like stems. Excellent air purifier and low-light tolerant.,نخلة أنيقة ذات سيقان تشبه الخيزران. منقي هواء ممتاز ومتحملة للضوء المنخفض.,good,Regular watering. Mist occasionally for humidity. Protect from direct sun.,Reduce watering. Maintain warmth above 16°C.,https://www.mashtalegypt.com/media/IMG_7249-600x600.jpg
birds_nest_fern,Bird's Nest Fern,Asplenium nidus,Aspleniaceae,سرخس عش الطائر,intermediate,fern,yes,"weekly: Keep soil consistently moist but not waterlogged. Water around edges, not center.",bright_indirect,Low to medium indirect light. Direct sun burns fronds.,moisture_retaining,16-27°C (optimal: 21°C),high,monthly_diluted,Tropical fern with glossy rippled fronds forming a nest shape. Loves humidity.,سرخس استوائي بأوراق لامعة متموجة تشكل شكل عش. يحب الرطوبة.,moderate,Challenging in dry heat. Needs high humidity from humidifier or frequent misting.,Easier in cooler months. Maintain warmth and humidity.,https://kaynuna.co/cdn/shop/files/IMG_5838.jpg
birds_of_paradise,Bird of Paradise,Strelitzia reginae,Strelitziaceae,طائر الجنة,intermediate,tropical,no,weekly: Regular watering during growing season. Allow slight drying between waterings.,bright_direct,"Needs very bright light, including some direct sun, for blooming.",well_draining,10-32°C (optimal: 24°C),medium,bi_weekly_growing_season,Dramatic tropical plant with large banana-like leaves. Produces spectacular orange and blue flowers.,نبات استوائي درامي بأوراق كبيرة تشبه الموز. ينتج أزهار برتقالية وزرقاء مذهلة.,good,Thrives in heat. Regular watering and full sun exposure. May flower with maturity.,Reduce watering. Can tolerate cooler temperatures down to 10°C.,https://kaynuna.co/cdn/shop/files/Birds_of_paradise_3_sticks.jpg
bromeliad,Bromeliad,Bromeliaceae spp.,Bromeliaceae,بروميليا,intermediate,tropical,yes,weekly: Water when top 2-3cm of soil is dry. Keep soil slightly moist.,bright_indirect,Prefers bright indirect light,well_draining,15-30°C (optimal: 22°C),medium,monthly,"Bring a vibrant touch to your indoor space with the stunning Bromeliad (Vriesea). Known for her colorful, long-lasting bracts in shades of red, yellow, or orange, this tropical beauty adds an exotic feel to any home. Perfect for brightening up shelves, desks, or corners with indirect light, the Bromeliad is both low-maintenance and captivating.",بروميليا (فريسيا) تضفي لمسة نابضة بالحياة على مساحتك الداخلية. تشتهر بقناباتها الملونة التي تدوم طويلاً بظلال من الأحمر أو الأصفر أو البرتقالي. يضيف هذا الجمال الاستوائي شعوراً غريباً ومميزاً لأي منزل. مثالية لإضاءة الرفوف أو المكاتب أو الزوايا ذات الضوء غير المباشر، وهي نبتة آسرة وقليلة الصيانة.,good,Increase watering frequency in Cairo's hot summer. Provide shade from direct afternoon sun.,Reduce watering in winter. Protect from cold drafts.,https://kaynuna.co/cdn/shop/files/ScreenShot2025-02-04at9.44.19PM.png?v=1738698650&width=1946
bunny_ear_cactus,Bunny Ear Cactus,Opuntia microdasys,Cactaceae,صبار آذان الأرنب,beginner,succulent,yes,every_3_weeks: Water sparingly. Let soil dry completely between waterings.,bright_direct,"Needs lots of bright light, loves direct sun",cactus_succulent,10-40°C (optimal: 25°C),low,rarely,"The Bunny Ear Cactus is a distinctive desert plant belonging to the cactus family, characterized by soft white spines resembling rabbit fur. It is an easy-care plant ideal for beginners in raising desert plants.",صبار آذان الأرنب هو نبات صحراوي مميز ينتمي لعائلة الصباريات، يتميز بأشواكه الناعمة البيضاء التي تشبه فراء الأرنب، وهو من النباتات سهلة العناية والمثالية للمبتدئين في تربية النباتات الصحراوية.,good,Water regularly during hot Cairo summers. Protect from harsh afternoon sun.,Reduce watering in cooler months. Maintain in bright location.,https://plantcultcairo.com/cdn/shop/files/IMG-20241111-WA0101_2.jpg?v=1731582155&width=823
burgundy_flamingo_flower,Burgundy Flamingo Flower,Anthurium andraeanum,Araceae,أنثوريوم برغندي,intermediate,flowering,no,twice_weekly: Keep soil consistently moist during blooming season.,bright_indirect,Bright indirect light for best flowering,well_draining,15-30°C (optimal: 22°C),high,monthly,Burgundy Flamingo Flower - Anthurium andraeanum 'Burgundy'. Moderate care requirements with rewarding growth.,أنثوريوم برغندي - Anthurium andraeanum 'Burgundy'. نبات زينة داخلي جميل يضيف لمسة طبيعية للمكان. يحتاج لعناية منتظمة ومناسب للبيئة المصرية.,good,Increase watering frequency in Cairo's hot summer. Provide shade from direct afternoon sun.,Reduce watering in winter. Protect from cold drafts.,https://kaynuna.co/cdn/shop/files/D1666A04-DBCE-4A17-B741-F55D739BF8AB.jpg?v=1759171121&width=1946
bushveld_kalanchoe,Bushveld Kalanchoe,Kalanchoe thyrsiflora,Crassulaceae,كالانشو بوشفيلد,beginner,succulent,yes,every_2_weeks: Water when soil is completely dry. Less in winter.,bright_indirect,Needs bright light to thrive,cactus_succulent,10-35°C (optimal: 22°C),low,rarely,"Bushveld Kalanchoe (Kalanchoe thyrsiflora), known as the Paddle Plant for its thick round leaves resembling paddles. Its leaves are grey-green covered with a white waxy layer, and have beautiful red edges. Grows in elegant flat rosettes. A very easy plant perfect for beginners; withstands drought and neglect. May bloom with a long spike of beautiful yellow flowers. Perfect for modern decor.",كالانشو بوشفيلد (كالانكو ثيرسيفلورا) نبات عصاري جميل يُعرف باسم نبات المجداف لأوراقه السميكة المستديرة التي تشبه المجداف. أوراقه رمادية خضراء مغطاة بطبقة شمعية بيضاء، وحوافها حمراء جميلة. ينمو في وريدات مسطحة أنيقة. نبات سهل جداً ومثالي للمبتدئين، يتحمل الجفاف والإهمال. قد يزهر بشمراخ طويل من أزهار صفراء جميلة. مثالي للديكور العصري.,good,Water regularly during hot Cairo summers. Protect from harsh afternoon sun.,Reduce watering in cooler months. Maintain in bright location.,https://plantcultcairo.com/cdn/shop/files/WhatsAppImage2024-04-20at15.20.06.jpg?v=1713621279&width=823
cactus_ball_gymnocalycium,Cactus ball Gymnocalycium,Gymnocalycium mihanovichii,Cactaceae,صبار الكرة المطعّم,beginner,succulent,yes,every_3_weeks: Water sparingly. Let soil dry completely between waterings.,bright_direct,"Needs lots of bright light, loves direct sun",cactus_succulent,10-40°C (optimal: 25°C),low,rarely,"The Grafted Ball Cactus is a unique plant with a beautiful spherical shape, often coming in bright colors (red, yellow, orange) grafted onto a green rootstock. It is a wonderful ornamental cactus that adds cheerful color to any place, requiring slightly special care due to its grafted nature.",صبار الكرة المطعّم هو نبات فريد ذو شكل كروي جميل، غالباً ما يأتي بألوان زاهية (أحمر، أصفر، برتقالي) مطعّم على جذر أخضر. إنه صبار زينة رائع يضيف لوناً مبهجاً لأي مكان، ويحتاج لعناية خاصة قليلاً بسبب طبيعته المطعّمة.,good,Water regularly during hot Cairo summers. Protect from harsh afternoon sun.,Reduce watering in cooler months. Maintain in bright location.,https://plantcultcairo.com/cdn/shop/files/WhatsAppImage2025-10-26at5.29.19PM_6.jpg?v=1761504203&width=823
calathea,Calathea Peacock,Calathea makoyana,Marantaceae,كلاثيا الطاؤوس,advanced,tropical,yes,twice_weekly: Keep soil moist but not soggy. Use filtered or distilled water.,medium_indirect,Indirect light only. Direct sun burns delicate leaves.,moisture_retaining,18-28°C (optimal: 23°C),high,bi_weekly_growing_season,Stunning patterned leaves that fold up at night. Prefers high humidity.,أوراق منقوشة مذهلة تنطوي ليلاً. يفضل رطوبة عالية.,poor,Challenging in dry heat. Needs humidifier and frequent misting.,Easier in winter humidity. Keep warm and away from heaters.,https://kaynuna.co/cdn/shop/files/Velvet_Plant.jpg
